title,description,opportunity,risk,risk management,risk analysis,risk handling,risk tracking,opportunity management,risk identification
Risk Management in 3 Dimensions,"['risk', 'analysis', 'add', 'third', 'dimension', 'standard', 'likelihood', 'consequence', 'analysis', 'urgency', 'video', 'explains', 'third', 'dimension', 'help', 'better', 'characterize', 'project', 'risk']",0,0,1,1,0,0,0,0
AFIT / LS Risk Life Cycle Management Group,"['site', 'offer', 'resource', 'wishing', 'learn', 'risk', 'management', 'concept', 'policy', 'tool', 'technique', 'procedure']",1,1,0,0,0,0,0,0
Seven Key Steps for Project Risk Management,"['quick', 'read', 'nothing', 'earth shattering', 'ground breaking', 'good', 'discussion', 'early', 'warning', 'sign', 'expected', 'monetary', 'value', 'measure', 'overall', 'project', 'risk', 'exposure', 'risk', 'proximity', 'otherwise', 'known', 'urgency', 'velocity']",0,0,1,0,0,0,0,0
PMT 0170 Risk Management,"['risk', 'always', 'concern', 'dod', 'system', 'acquisition', 'process', 'acquisition', 'process', 'designed', 'large', 'degree', 'allow', 'risk', 'managed', 'conception', 'delivery', 'system', 'although', 'risk', 'inherent', 'program', 'risk', 'management', 'ensures', 'manager', 'take', 'measure', 'ass', 'handle', 'risk', 'module', 'focus', 'tool', 'process', 'used', 'manage', 'risk', 'defense', 'system', 'acquisition', 'project']",0,0,1,0,0,0,0,0
Guide for Applying the Risk Management Framework to Federal Information Systems,"['a341this', 'publication', 'provides', 'guideline', 'applying', 'risk', 'management', 'framework', 'rmf', 'federal', 'information', 'system', 'six step', 'rmf', 'includes', 'security', 'categorization', 'security', 'control', 'selection', 'security', 'control', 'implementation', 'security', 'control', 'assessment', 'information', 'system', 'authorization', 'security', 'control', 'monitoring', 'rmf', 'promotes', 'concept', 'near', 'real time', 'risk', 'management', 'ongoing', 'information', 'system', 'authorization', 'implementation', 'robust', 'continuous', 'monitoring', 'process', 'provides', 'senior', 'leader', 'necessary', 'information', 'make', 'cost effective', 'risk based', 'decision', 'regard', 'organizational', 'information', 'system', 'supporting', 'core', 'mission', 'business', 'function', 'integrates', 'information', 'security', 'enterprise', 'architecture', 'system', 'development', 'life', 'cycle', 'applying', 'rmf', 'within', 'enterprise', 'link', 'risk', 'management', 'process', 'information', 'system', 'level', 'risk', 'management', 'process', 'organization', 'level', 'risk', 'executive', 'function', 'establishes', 'line', 'responsibility', 'accountability', 'security', 'control', 'deployed', 'within', 'organizational', 'information', 'system', 'inherited', 'system', 'i e', 'common', 'control']",0,1,0,0,0,0,0,0
Risk Management Magazine - Learning from Corporate Collapse,"['hodge', 'n', '2019', 'february', '1', 'learning', 'corporate', 'collapse', 'http', 'www rmmagazine com 2019 02 01 learning from corporate collapse']",1,1,0,0,0,0,0,0
"Cyber tactics: risk, and how to manage it.","['tactic', 'consensus', 'among', 'spoke', 'summit', 'tactic', 'cyberspace', 'informed', 'sound', 'disciplined', 'risk', 'management', 'seems', 'true', 'offense', 'defense', 'especially', 'given', '22inherently', 'dual use', '22', 'nature', 'cyber', 'tool', 'several', 'panelist', 'alluded']",0,1,0,0,0,0,0,0
Crippling crypto weakness opens millions of smartcards to cloning | Ars Technica,"['interesting', 'article', 'risk', 'manufacturer', 'making', 'equipment', 'available', 'third', 'party', 'impact', 'security', 'case', 'specifically', 'related', 'cac', 'cloning']",0,1,0,0,0,0,0,0
Risk Management Guide for DoD Acquisition,"['assist', 'dod', 'contractor', 'program', 'manager', 'pm', 'program', 'office', 'integrated', 'product', 'team', 'ipts', 'effectively', 'managing', 'program', 'risk', 'entire', 'acquisition', 'process', 'including', 'sustainment']",0,1,0,0,0,0,0,0
Risk Management Overview,"['test', 'change', 'descrtiption', 'avolve', 'introduction', 'air', 'force', 'life', 'cycle', 'risk', 'management']",1,1,1,0,0,0,0,0
When is Risk Not a Risk? Part 1,"['hillson', '2004', 'risk', 'risk', 'part', '1', 'http', 'risk doctor com wp content uploads 2020 06 06 when is a risk not a risk part 1 pdf']",1,1,1,0,0,0,0,0
Now that I have a risk list...what do I do about them?,"['excerpt', 'afit', 'ipm', '301', 'risk', 'management', 'lesson', 'describes', 'common', 'best', 'practice', 'handling', 'project', 'risk']",0,0,1,0,0,0,0,0
PowerPoint Presentation,"['power', 'point', 'file', 'compare', 'discus', 'step', 'performed', 'major', 'organization', 'perform', 'risk', 'management', 'file', 'provided', 'head', 'department', 'software', 'system', 'engineering', 'management', 'school', 'system', 'logistics', 'air', 'force', 'institute', 'technology', 'mr', 'richard', 'sugarman', 'richard sugarrman', 'afit edu']",1,1,1,0,0,0,0,0
Risk Management Basics. What Exactly is it?,"['hillson', 'riskdoctorvideo', '2012', 'january', '24', 'risk', 'management', 'basic', 'exactly', 'video', 'youtube', 'http', 'www youtube com watch', 'v blaeuvsalvm']",1,1,0,0,0,0,0,0
What is Risk Attitude and Why Does it Matter?,"['hillson', 'riskdoctorvideo', '2018', 'july', '23', '55', 'risk', 'attitude', 'matter', 'video', 'youtube', 'http', 'www youtube com watch', 'v v8k2lfm2bwo', '7', 'minute', '20', 'second']",0,1,1,0,0,0,0,0
Cyber Security Game: A Model-based Game Theoretic Approach for Mitigating Cybersecurity Risk | CSIAC,"['webinar', 'describes', 'cyber', 'security', 'game', 'csg', 'csg', 'method', 'implemented', 'software', 'quantitatively', 'identifies', 'cyber', 'security', 'risk', 'us', 'metric', 'determine', 'optimal', 'employment', 'security', 'method', 'given', 'investment', 'level', 'cyber', 'security', 'game', 'maximizes', 'system s', 'ability', 'operate', 'today s', 'contested', 'cyber', 'environment', 'minimizing', 'mission', 'risk', 'risk', 'score', 'calculated', 'using', 'mission', 'impact', 'model', 'compute', 'consequence', 'cyber', 'incident', 'combining', 'likelihood', 'attack', 'succeed', 'likelihood', 'attack', 'succeeding', 'computed', 'applying', 'threat', 'model', 'system', 'topology', 'model', 'defender', 'model', 'csg', 'take', 'account', 'widespread', 'interconnectedness', 'cyber', 'system', 'defender', 'must', 'defend', 'multi step', 'attack', 'path', 'attacker', 'need', 'one', 'succeed', 'employ', 'game', 'theoretic', 'solution', 'using', 'game', 'formulation', 'identifies', 'defense', 'strategy', 'minimize', 'maximum', 'cyber', 'risk', 'minimax', 'webinar', 'discus', 'method', 'model', 'compose', 'cyber', 'security', 'game', 'limited', 'example', 'point', 'sale', 'system', 'used', 'provide', 'specific', 'demonstration', 'csg', 'model', 'analysis']",0,1,0,0,0,0,0,0
Using Wargames to Evaluate Acquisition Strategies,"['excerpt', 'presentation', 'chad', 'millette', 'gave', 'acquisition', 'wargaming', 'portion', 'presentation', 'focus', 'concept', 'using', 'wargames', 'evaluate', 'acquisition', 'strategy', 'much', 'like', 'wargames', 'used', 'analyze', 'evaluate', 'operation', 'plan']",0,0,1,0,0,0,0,0
Risk Identification Technique - Do A Pre-Mortem,"['excerpt', 'ipm', '301', 'risk', 'management', 'lesson', 'describes', 'pre mortem', 'mean', 'identifying', 'project', 'risk']",0,0,1,0,0,0,0,1
Website: The Risk Doctor,"['dr', 'david', 'hillson', 'risk', 'doctor', 'international', 'thought leader', 'risk', 'management', 'global', 'reputation', 'excellent', 'speaker', 'award winning', 'author', 'countless', 'individual', 'team', 'organisation', 'benefited', 'blend', 'innovative', 'insight', 'practical', 'application', 'presented', 'accessible', 'style', 'combine', 'clarity', 'humour', 'also', 'share', 'insight', 'regularly', 'book', 'paper', 'article', 'well', 'regular', 'series', 'risk', 'doctor', 'briefing', 'david s', 'speaking', 'writing', 'guided', 'risk', 'doctor', 'motto', 'understand', 'profoundly', 'explain', 'simply']",1,1,1,0,0,0,0,0
Defining Organizational Objective - Part 1,"['part', '1', 'afit', 'video', 'ipo', 'model', 'smart', 'objective', 'part', '1', 'frame', 'common', 'definition', 'risk', 'go', 'detail', 'ipo', 'model']",0,1,0,0,0,0,0,0
SYS 208 - ICOT Example,"['example', 'input', 'constraint', 'output', 'thing', 'icot', 'model', 'practice', 'similar', 'ipo', 'model', 'particular', 'example', 'sys', '208', 'afit', 'risk', 'management', 'class', 'high', 'level', 'uneducated', 'student', 'come', 'class', 'taught', 'educated', 'student', 'come', 'help', 'organizational', 'objective', 'task']",0,1,0,0,0,0,0,0
Acceleration Part 3 - The Risk of Accelerating Acquisitions,"['dan', 'ward', 'mitre', 'speaks', 'accelerating', 'acquisition', 'actually', 'reduces', 'program', 'risk', 'us', 'classic', 'project program', 'risk', 'management', 'discus']",0,0,1,0,0,0,0,0
Risk Identification Worksheet,"['complete', 'risk', 'identification', 'worksheet', 'identify', 'risk', 'organization', 'clear', 'organization', 'goal', 'objective', 'feel', 'free', 'use', 'prior', 'job', 'assignment', 'may', 'reuse', 'goal', 'objective', 'identified', 'prior', 'step']",0,1,0,0,0,0,0,1
SYS 208 Capstone: Risk Management Plan,"['risk', 'management', 'plan', 'capstone', 'project', 'air', 'force', 'institute', 'technology', 'sys', '208', 'identify', 'least', 'five', 'change', 'would', 'improve', 'clarity', 'real', 'rmp', 'created', 'specifically', 'educational', 'purpose']",0,1,0,0,0,0,0,0
":SYS 208 Student Course Book - Lesson 3: Risk Identification, Part 2","['part', '2', 'risk', 'identification', 'section', 'student', 'coursebook', 'section', 'explores', 'tool', 'technique', 'identifying', 'risk']",0,1,0,0,0,0,0,1
SYS 208 Student Course Book - Lesson 3: Risk Identification ,"['risk', 'identification', 'chapter', 'sys', '208', 'student', 'course', 'book']",0,1,0,0,0,0,0,1
Department of the Air Force Pamphlet (DAFPAM) 63-128. Integrated Life Cycle Management,"['department', 'air', 'force', 'pamphlet', 'dafpam', '63 128', 'integrated', 'life', 'cycle', 'management', '3', 'february', '2021']",0,1,0,0,0,0,0,0
"Project Risks: Identifying Causes, Risks, and Effects","['hillson', '2000', 'project', 'risk', 'identifying', 'cause', 'risk', 'effect', 'accuracy', 'essential', 'good', 'technique', 'exist', 'simplify', 'process', 'eliminate', 'confusion', 'pm', 'network', '14', '9', '48 51', 'dr', 'hillson', 'article', 'identifying', 'risk', 'give', 'useful', 'definition', 'describes', 'common', 'shortfall', 'risk', 'identification', 'process', 'article', 'dr', 'hillson', 'also', 'explains', 'risk', 'statement', 'give', 'example']",0,0,0,0,0,0,0,1
Risk Identification     ,"['video', 'hit', 'many', 'helpful', 'point', 'successfully', 'perform', 'risk', 'identification']",0,1,0,0,0,0,0,1
Lesson 2: Risk Management Planning ,"['risk', 'management', 'planning', 'excerpt', 'afit', 'l', 'sys', '208', 'life', 'cycle', 'risk', 'management', 'course', 'book']",0,1,1,0,0,0,0,0
Organizational Objective Worksheet,"['worksheet', 'help', 'identify', 'organizational', 'goal', 'objective']",0,1,0,0,0,0,0,0
Untitled. Clear review software (2015). What is a smart objective? ,"['pdf', 'sheet', 'making', 'smart', 'objective', 'likely', 'taken', 'company', 'personnel', 'rating', 'system', 'multiple', 'definition', 'applied', 'acronym', 'smart', 'underlying', 'point', 'order', 'identify', 'risk', 'uncertainty', 'matter', 'need', 'clear', 'specific', 'set', 'goal', 'identify', 'uncertainty', 'respect', 'goal', 'uncertainty', 'associated', 'goal', 'risk']",0,1,0,0,0,0,0,0
SYS 208 Student Course Book - Lesson 3: Risk Identification Answer Key,"['answer', 'key', 'lesson', '3', 'sys', '208', 'student', 'course', 'book']",0,1,0,0,0,0,0,1
Risk Management Plan Example,"['example', 'risk', 'management', 'plan', 'program', 'office', 'sustainment']",0,1,1,0,0,0,0,0
Defining Organizational Objectives - Part 2,"['part', '2', 'afit', 'video', 'ipo', 'model', 'smart', 'objective', 'part', '2', 'go', 'detail', 'smart', 'objective']",0,1,0,0,0,0,0,0
17 How Can Risks be Quantified,"['dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', '17', 'risk', 'quantified', 'video']",0,0,0,1,0,0,0,0
19 When and Why Should We Use Quantitative Risk Analysis?,"['hillson', '2018', 'june', '16', '19', 'use', 'quantitative', 'risk', 'analysis', 'video', '100', 'question', 'risk', 'management', 'series', 'video', 'discus', 'situation', 'using', 'quantitative', 'risk', 'analysis', 'appropriate']",0,0,0,1,0,0,0,0
Risk Analysis (excerpt from SYS 208 Life Cycle Risk Management Course Book)  ,"['section', 'air', 'force', 'institute', 'technology', 'sys', '208', 'course', 'book', 'provides', 'good', 'high level', 'overview', 'risk', 'analysis', 'note', 'historical', 'subjective', 'data', 'may', 'classified', 'qualitative', 'analysis', 'despite', 'explicitly', 'classified', 'way', 'course', 'book']",0,0,0,1,0,0,0,0
91 How Can Experience or Empirical Data Help in Managing Risks? ,"['hillson', '2018', 'june', '16', '91', 'experience', 'empirical', 'data', 'help', 'managing', 'risk', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'discus', 'concept', 'using', 'expertise', 'subject', 'matter', 'expert', 'determining', 'probability', 'risk', 'occurring']",0,0,0,1,0,0,0,0
What is a Monte Carlo Simulation?,"['mike', 'clayton', 'online', 'pm', 'course', 'describes', 'monto', 'carlo', 'simulation', 'useful', 'assessing', 'risk', 'clayton', '2020', 'september', '17', 'monte', 'carlo', 'simulation', 'video']",0,0,0,1,0,0,0,0
 18 How Can we Prioritise Risks?,"['hillson', '2018', 'june', '16', '18', 'prioritise', 'risk', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'address', 'important', 'principle', 'related', 'risk', 'reporting']",0,0,0,1,0,0,0,0
Part 2 -- Risk Analysis (Excerpt from SYS 208 Student Course Book),"['chapter', 'address', 'major', 'concern', 'associated', 'lcrm', '5x5', 'risk', 'chart']",0,0,0,1,0,0,0,0
 20 What Risk Response Strategies are Available?  ,"['hillson', '2018', 'june', '16', '20', 'risk', 'response', 'strategy', 'available', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'dr', 'hillson', 'explains', 'differentiate', 'risk', 'handling', 'strategy']",0,0,1,0,1,0,1,0
21 How Do We Choose the Best Risk Response Strategy? ,"['watch', 'hillson', '2018', 'june', '16', '21', 'choose', 'best', 'risk', 'response', 'strategy', 'video', 'dr', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'dr', 'hillson', 'describes', 'method', 'compare', 'risk', 'response', 'strategy']",0,0,1,0,1,0,1,0
"SYS 208 Course Book -- Risk Handling, Planning & Implementation","['chapter', 'present', 'risk', 'handling', 'option', 'described', 'dafpam', '63 128', 'provides', 'example', 'implement', 'also', 'give', 'way', 'evaluate', 'various', 'risk', 'handling', 'option']",0,0,0,0,0,0,1,0
Risk Mitigation vs. Contingency Planning ,"['article', 'shrerman', 'good', 'job', 'highlighting', 'difference', 'contingency', 'planning', 'risk', 'mitigation', 'sherman', 'f', '2019', 'june', '13', 'risk', 'mitigation', 'v', 'contingency', 'planning', 'bizfluent']",0,0,0,0,1,0,1,0
 23 How Do We Ensure That Risk Responses are Implemented?,"['hillson', '2018', 'june', '16', '23', 'ensure', 'risk', 'response', 'implemented', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'address', 'importance', 'risk', 'tracking', 'common', 'mistake', 'performing', 'risk', 'tracking']",0,0,0,1,0,1,0,0
25 Why Do We Need to Perform Risk Reviews? ,"['hillson', '2018', 'june', '16', '25', 'need', 'perform', 'risk', 'review', 'video', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'address', 'importance', 'performing', 'risk', 'review', 'situation', 'would', 'increase', 'decrease', 'frequency']",0,0,0,1,0,1,0,0
27 How Should We Report Risk Information to Stakeholders? ,"['hillson', '2018', 'june', '16', '27', 'report', 'risk', 'information', 'stakeholder', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'discus', 'report', 'risk', 'various', 'stakeholder', 'risk', 'tracking', 'process']",0,0,0,1,0,1,0,0
29 How Can We Identify Early Warning Indicators or Trigger Conditions for Risks? ,"['hillson', '2018', 'june', '16', '29', 'identify', 'early', 'warning', 'indicator', 'trigger', 'condition', 'risk', 'video', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'identifying', 'appropriate', 'warning', 'indicator', 'risk', 'important', 'risk', 'management']",0,0,0,1,0,1,0,0
SYS 208 Coursebook—Risk Tracking ,"['read', 'risk', 'tracking', 'chapter', 'sys', '208', 'coursebook', 'chapter', 'discus', 'step', 'risk', 'tracking', 'process', 'metric', 'used', 'track', 'risk', 'also', 'review', 'various', 'way', 'report', 'risk', 'tracking']",0,0,0,1,0,0,0,0
Risk Tracking Exercise Answer Key ,"['answer', 'key', 'risk', 'tracking', 'exercise', 'take', 'sys', '208', 'course', 'book', 'answer', 'set', 'stone', 'intended', 'give', 'general', 'idea']",0,0,0,1,0,1,0,0
Risk Tracking Exercise ,"['exercise', 'look', 'specific', 'technical', 'performance', 'metric', 'speed', 'helicopter', 'configuration', 'asks', 'several', 'question', 'leadership', 'might', 'want', 'know', 'right', 'wrong', 'answer', 'goal', 'get', 'student', 'thinking', 'critically', 'risk', 'tracking']",0,0,0,1,0,1,0,0
4 Do We Need a Different of Separate Process to Identify and Manage Opportunities?,"['hillson', '2018', 'june', '16', '4', 'need', 'different', 'separate', 'process', 'identify', 'management', 'opportunity', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'discus', 'relationship', 'opportunity', 'risk', 'management', 'whether', 'opportunity', 'management', 'imbedded', 'risk', 'management', 'process']",0,0,0,0,0,0,1,0
15 How Can We Identify Opportunities? ,"['hillson', '2018', 'june', '16', '15', 'identify', 'opportunity', 'video', 'dr', 'david', 'hillson', '100', 'question', 'risk', 'management', 'series', 'video', 'discus', 'use', 'risk', 'identification', 'step', 'identify', 'opportunity', 'addition', 'threat', 'risk']",0,0,0,0,0,0,1,0
DAFPAM 63-128 (Excerpt) ,"['except', 'dafpam', '63 128', 'opportunity', 'management']",0,0,0,0,0,0,1,0
"DoD Risk, Issue, and Opportunity Management Guide","['excerpt', 'dod', 'risk', 'issue', 'opportunity', 'management', 'guide', 'opportunity', 'management', 'give', 'good', 'introduction', 'dod', 'view', 'opportunity', 'management']",0,0,0,0,0,0,1,0
SYS 208 Coursebook – Chapter 7 ,"['chapter', '7', 'risk', 'management', 'coursebook', 'opportunity', 'provides', 'information', 'use', 'existing', 'life', 'cycle', 'risk', 'management', 'process', 'help', 'opportunity', 'management', 'provides', 'example', 'opportunity']",0,0,0,0,0,0,1,0
SMART Goal Template,"['complete', 'least', 'one', 'personal', 'professional', 'smart', 'goal', 'using', 'template', 'also', 'identify', 'smart', 'goal', 'organization']",0,1,0,0,0,0,0,0
Common Risk Management Activities ,"['air', 'force', 'institute', 'technology', 'common', 'risk', 'activity']",0,1,1,0,0,0,0,0
Risk (and Opportunity!) Mgmt & Innovation,"['asked', 'creative', 'innovate', 'know', 'difference', 'creativity', 'innovation', 'know', 'innovative', 'relates', 'risk', 'opportunity', 'management', 'workshop', 'answer', 'question', 'helping', 'connect', 'dot', 'creativity', 'innovation', 'uncertainty', 'matter']",1,1,0,0,0,0,0,0
The Risk Doctor Website,"['dr', 'david', 'hillson', 'risk', 'doctor', 'international', 'thought leader', 'risk', 'management', 'global', 'reputation', 'excellent', 'speaker', 'award winning', 'author', 'countless', 'individual', 'team', 'organisation', 'benefited', 'david', 'blend', 'innovative', 'insight', 'practical', 'application', 'presented', 'accessible', 'style', 'combine', 'clarity', 'humour', 'also', 'share', 'insight', 'regularly', 'book', 'paper', 'article', 'david', 'speaking', 'writing', 'guided', 'risk', 'doctor', 'motto', 'understand', 'profoundly', 'explain', 'simply']",1,1,1,0,0,0,0,0
Mission Command and Risk Management ,"['slide', 'mission', 'command', 'risk', 'management', 'presentation', 'lay', 'strategy', 'understanding', 'risk', 'management', 'mission', 'execution', 'mission', 'command', 'lens']",0,1,1,0,0,0,0,0
Practice RMP Exercise Final,"['practice', 'rmp', 'taken', 'afit', 'sys', '208', 'life', 'cycle', 'risk', 'management', 'course', 'version', 'also', 'includes', 'disclaimer', 'page', 'answer', 'key']",0,1,1,0,0,0,0,0
DAFPAM 63-128 RMP (12.1.1),"['excerpt', 'dafpam', '63 128', 'including', 'section', 'risk', 'management', 'plan']",0,1,1,0,0,0,0,0
Student Course Book - Risk Identification Part 1,"['excerpt', 'part', '1', 'risk', 'identification', 'lesson', 'afit', 'sys', '208', 'student', 'course', 'book']",0,1,1,0,0,0,0,1
Tesseract Podcast - General Brown on Risk,"['video', 'general', 'brown', 'give', 'personal', 'perspective', 'risk', 'kind', 'risk', 'attitude', 'leadership']",0,1,1,0,0,0,0,0
Student Course Book - Risk Analysis Part 1,"['excerpt', 'risk', 'analysis', 'lesson', 'sys', '208', 'afit', 'course', 'life', 'cycle', 'risk', 'management']",0,1,1,1,0,0,0,0
Digital Acquisition and Risk Management Workshop,"['workshop', 'discus', 'digital', 'acquisition', 'affect', 'practice', 'life', 'cycle', 'risk', 'management', 'lcrm', 'introduced', 'basic', 'principle', 'field', 'explored', 'correct', 'implementation', 'da', 'would', 'impact', 'lcrm', 'program', 'workshop', 'help', 'viewer', 'think', 'critically', 'da', 'assist', 'performing', 'rm', 'workplace']",0,1,1,0,0,0,0,0
How to Create a Risk Identification Statement,"['video', 'taken', 'air', 'force', 'institute', 'technology', 'sys', '118', 'course', 'describes', 'create', 'good', 'risk', 'statement', 'also', 'break', 'element', 'good', 'bad', 'risk', 'id', 'statement']",0,1,0,0,0,0,0,1
Digital Acquisition and Risk Management Workshop,"['workshop', 'explores', 'digital', 'acquisition', 'affect', 'practice', 'life', 'cycle', 'risk', 'management', 'lcrm', 'introduce', 'basic', 'principle', 'field', 'explore', 'correct', 'implementation', 'da', 'would', 'impact', 'lcrm', 'program', 'workshop', 'help', 'participant', 'think', 'critically', 'da', 'assist', 'performing', 'rm', 'workplace']",0,1,1,1,1,1,0,1
SSE Cyber Intermediate Video Series - 1.7 Perform Risk Analysis,"['step', 'previous', 'risk', 'analysis', 'must', 'updated', 'account', 'mitigation', 'introduced', 'via', 'system', 'contractor', 'cyber', 'requirement', 'updating', 'risk', 'analysis', 'sswg', 'must', 'consider', 'risk', 'including', 'cpi', 'cc', 'tsn', 'cybersecurity', 'security', 'management', 'information', 'protection']",0,0,0,1,0,0,0,0
SSE Cyber Intermediate Video Series - 2.1 Requirements Analysis,"['discus', 'request', 'proposal', 'phase', 'work', 'breakdown', 'structure', 'wb', 'phase', 'member', 'sswg', 'preparing', 'system', 'security', 'engineering', 'input', 'request', 'proposal', 'rfp']",0,0,0,1,0,0,0,0
Supply Chain Risk Management,"['wksp', '0681', 'acquisition', 'management', 'current', 'topic', 'supply', 'chain', 'risk', 'management', 'dr', 'christian', 'randall']",0,0,1,0,0,0,0,0
Organizational Objectives and Risk Management,"['probably', 'necessary', 'knowledge', 'ensure', 'effort', 'spent', 'managing', 'risk', 'add', 'value', 'organization', 'good', 'grasp', 'organization', 'goal', 'objective', 'risk', 'management', 'tool', 'help', 'organizational', 'leader', 'allocate', 'scarce', 'resource', 'time', 'talent', 'money', 'etc', 'proactively', 'minimize', 'failure', 'organizational', 'goal', 'objective', 'positive', 'light', 'rm', 'help', 'proactively', 'enhance', 'success', 'organizational', 'goal', 'objective', 'presumes', 'organizational', 'member', 'know', 'goal', 'objective', 'condition', 'afit', 'often', 'find', 'lacking', 'student', 'time', 'class', 'please', 'use', 'attached', 'job', 'aid', 'help', 'define', 'goal', 'objective', 'unique', 'organization', 'knowing', 'advance', 'class', 'make', 'class', 'much', 'meaningful', 'help', 'student', 'supervisor', 'apply', 'concept', 'teach', 'benefit', 'organization', 'immediately']",0,1,1,0,0,0,0,0
Innovation & Risk/Opportunity Mgmt,"['asked', 'creative', 'innovate', 'know', 'difference', 'creativity', 'innovation', 'know', 'innovative', 'relates', 'risk', 'opportunity', 'management', 'aflcmc', 'focus', 'week', 'workshop', 'answer', 'question', 'helping', 'connect', 'dot', 'creativity', 'innovation', 'uncertainty', 'matter', 'bonus', 'sandwich', 'cooky', 'relation', 'daf', 'innovation', 'yup', 'note', 'student', 'slide', 'found', 'avolve', 'http', 'avolve apps dso mil', 'display 2d525ecb bf3b 4ce9 95e1 0258fb2da4a4']",1,1,1,0,0,0,1,0
Student Slides - Innovation & Risk Mgmt,"['student', 'slide', 'go', 'along', 'recorded', 'aflcmc', 'focus', 'week', 'workshop', 'afit', 'school', 'system', 'logistics', 'innovation', 'risk', 'opportunity', 'management', 'recording', 'viewed', 'avolve', 'http', 'avolve apps dso mil', 'display b9f00b2e 188e 4734 bde9 d44f2af102b7']",1,1,1,0,0,0,1,0
Risk & Requirements Collaboration in Digital Materiel Management,"['maj', 'kyle', 'arruda', 'join', 'workshop', 'personal', 'perspective', 'innovative', 'transformation', 'approach', 'risk', 'requirement', 'collaboration', 'digital', 'materiel', 'mgt', 'present', 'best', 'practice', 'opportunity', 'applying', 'system', 'engineering', 'request', 'information', 'rfi', 'phase', 'recent', 'graduate', 'thesis', 'evaluated', 'transitioning', 'document', 'model', 'based', 'approach', 'using', 'cameo', 'sysml', 'approach', 'highlight', 'rfi', 'requirement', 'collaboration', 'along', 'risk', 'analysis', 'employing', 'visual', 'model', 'ensure', 'clarification', 'understanding', 'desired', 'capability', 'objective']",0,1,0,0,0,0,0,0
"INTEGRATED LIFE CYCLE MANAGEMENT AFI 63-101 / 20-101,  30 June 2020","['publication', 'implement', 'air', 'force', 'policy', 'directive', 'afpd', '63 1 20 1', 'integrated', 'life', 'cycle', 'management', 'instruction', 'establishes', 'integrated', 'life', 'cycle', 'management', 'guideline', 'procedure', 'air', 'force', 'af', 'personnel', 'develop', 'review', 'approve', 'manage', 'system', 'subsystem', 'end items', 'service', 'activity', 'purpose', 'publication', 'referred', 'program', 'throughout', 'document', 'procured', 'department', 'defense', 'dod', '5000', 'series', 'instruction', 'comprising', 'defense', 'acquisition', 'system']",0,1,0,0,0,0,0,0
"Module 2, Lesson 6, Reading Assignments","['module', '2', 'lesson', '6', 'risk', 'management']",0,0,1,0,0,0,0,0
"Learning Checks Module 2, Lesson 6","['module', '2', 'lesson', '6', 'risk', 'management']",0,0,1,0,0,0,0,0
Sustainment Academics: Supply Chain Risk Management (SCRM),"['lesson', 'provides', 'overview', 'supply', 'chain', 'risk', 'mean', 'manage', 'way', 'air', 'force', '448', 'scmw', 'getting', 'problem', 'set', 'http', 'dod teams microsoft us l channel 19', '3adod', '3a1445592996054d23ac526adfe2fd02f9', '40thread tacv2 general', 'groupid c2ad940a 90d1 45ad 8add 3871ebcc8563', 'tenantid 8331b18d 2d87 48ef a35f ac8818ebf9b4']",0,1,0,0,0,0,0,0
